Title,Link,Description,Image URL
HP EliteDesk 800 G2 SSD 16gb RAM,https://chicago.craigslist.org/wcl/sys/d/clarendon-hills-hp-elitedesk-800-g2-ssd/7689583825.html,"HP EliteDesk 800 G2 SFF
Intel Core i5-6600 @ 3.30GHz
240GB SSD
16gb RAM
Fresh install of Win10 Pro
BIOS updated
Comes with Keyboard, Mouse and Power Cord.",https://images.craigslist.org/00E0E_bu5E9eB7AzR_0800aF_600x450.jpg
HP EliteDesk 400 G3 i5 SSD 16gb RAM,https://chicago.craigslist.org/wcl/sys/d/clarendon-hills-hp-elitedesk-400-g3-i5/7689583673.html,"HP EliteDesk 400 G3 SFF
i5-6500 CPU @3.20 GHz
16GB RAM
FAST SSD 240GB
Fresh install of Win10 Pro, win11 possible
BIOS updated
Comes with Keyboard, Mouse and Power Cord.",https://images.craigslist.org/00x0x_eNPkarFSRWl_0800aF_600x450.jpg
Custom ibuypower (i7 6700)SSD Win 10/16G,https://chicago.craigslist.org/wcl/sys/d/lyons-custom-ibuypower-i7-6700ssd-win/7693656386.html,"For Sale***ibuypower i7 6700
Nice Pc in Excellent condition, lighty used Clean inside and out.
Rebuilt + upgraded Pc, (fresh Thermal paste, Drives, cmos batt).
Upgraded the System bios, and the Firmware on the ssd.
Fast and Snappy Business/Gamer class PC, for internet usage, email, office, Work at home, ect.
Pc is in ready to use condition, Check images for more details and specs.
Did a Medium Unigine Heaven benchmark@ 144 fps, check image.
Free 22 in (1920x1080) monitor, if you need one.

Intel Core i7-6700, 3.4 GHz Base, 4.0 GHz Turbo 8M Cache,6th gen
Msi B150 motherboard, Samsung 850 500 Gb ssd Boot Drive.
Toshiba 2 Tb, 7200 rpm Storage Drive,no bad sectors.
16 GB DDR4 Ram in Dual Channel mode.
CD/DVD Writer, 10 USB ports-4 Top, 6 rear. usb 3.0.
Hdmi, and DP outputs, MSI GTX 970 4 Gb ddr5.
500 Watt Psu, Wired and Wireless network.
Comes with a power cord, mouse, keyboard.

New Windows 10 Pro (22H2 Oct. Release), Genuine Win 10.
Fresh installation, Optimized, for performance + privacy.
Ad blocker and Antivirus. Chrome + Firefox Browsers.
The pc is Described honestly, with a 60 day warranty.
I'm a pc tech and hobby guy of many years.
Feel free to Call or text for any pc questions.
Firm on price. Not taking offers, thanks for looking.",https://images.craigslist.org/00n0n_iKG6LDvT8an_0t20CI_600x450.jpg
"Dell Latitude 7400 - i7, 32GB RAM",https://chicago.craigslist.org/wcl/sys/d/wheaton-dell-latitude-i7-32gb-ram/7686434226.html,"Cash and local pickup only in public location.

Dell Latitude 7400

Specs:
- Windows 10 Pro (fresh install), fully compatible with Windows 11 Pro
- Carbon fiber lid
- 14"" FHD touch screen
- IR Camera (use with Windows Hello)
- Intel Core i7-8665U CPU
- 32GB DDR4 RAM
- 512 GB SSD
- Thunderbolt port

Includes original Dell power adapter (not pictured).

Fresh installation of Windows 10 Pro, all updates and firmware done.",https://images.craigslist.org/00Y0Y_37sGEL1lM7f_0CI0t2_600x450.jpg
Dell Latitude 7300 laptop - with Dell support!,https://chicago.craigslist.org/wcl/sys/d/wheaton-dell-latitude-7300-laptop-with/7686438072.html,"Cash and local pickup only please. This device is in superb condition.

Fresh reinstall of Windows 10 Pro.

- Intel Core i5-8365U Processor
- 16GB RAM
- 256 GB SSD
- 14"" FHD touchscreen
- Backlit keyboard
- Thunderboldt port
- Dell PRO-SUPPORT PLUS warranty until August 2025! This includes accidental damage.",https://images.craigslist.org/00909_cY51d4lwbfG_0t20t2_600x450.jpg
Acer Chromebooks,https://chicago.craigslist.org/nwc/sys/d/schaumburg-acer-chromebooks/7690831012.html,"Acer Chromebook R11 C738T 2-in-1 TOUCHSCREEN 1.6GHz 16GB 4GB. All Chromebooks are tested to be not locked and hold battery charge.
$60 cash each",https://images.craigslist.org/00y0y_wJq4hJj610_0bC0fu_600x450.jpg
7th Gen i5 Lenovo Thinkpad X1 Carbon Laptop (8GB/256GB),https://chicago.craigslist.org/nwc/sys/d/glendale-7th-gen-i5-lenovo-thinkpad-x1/7687617537.html,"CORE i5 Lenovo Thinkpad Laptop It is in great looking and working condition. Has Windows 10 Pro & Office 2019. Also has Antivirus. Runs very fast! Cleaned/Updated, and ready to use.

Model: Thinkpad X1 Carbon (7th Generation)
Screen: 14""
Has:
Webcam
Wifi
HDMI
Bluetooth
USB/SD Card Slot
8GB RAM
256GB SSD Hard Drive (Solid State)
Intel Core i5-8365U CPU (Fast)
Charger included
Battery Included
$300 Cash",https://images.craigslist.org/00000_kytbIPSKICf_0bC0fu_600x450.jpg
"17"" ACER ASPIRE 7551 INTEL PENTIUM P6100 2.00 GHZ",https://chicago.craigslist.org/chc/sys/d/chicago-17-acer-aspire-7551-intel/7693657046.html,"Acer Aspire 7551 Laptop
Normal working condition
Good cosmetic condition

LAPTOP INFO
Processor Intel Pentium 6100 2.00 GHz
Installed Hard Drive -------- 250 GB SSD
Installed Memory --------- 8 GB PC3
Screen Size 17"" with camera
DVD / CD RW DRIVE
Intel HD Graphics
2.0 USB PORTS
HDMI PORT
SD CARD READER
Wi-Fi Connection
Battery holds good charge
Comes with power charger
Windows 10 Home Version 22H2

NOTE WINDOWS IS NOT ACTIVATED

For info call or text (773) 7 one 5 two 2 8 9
Firm price.",https://images.craigslist.org/00v0v_alhZNy8EA2X_0CI0t2_600x450.jpg
15 INCH LENOVO THINKPAD T570 INTEL CORE I7-6600U 2.81 GHz,https://chicago.craigslist.org/chc/sys/d/chicago-15-inch-lenovo-thinkpad-t570/7693655299.html,"LENOVO THINKPAD T570 LAPTOP
This laptop works normal
Good cosmetic condition

LAPTOP INFO.
Processor Intel Core i7-6600U 2.81 GHz
Hard drive --------- 250 GB SSD
Memory ----------- 16 GB DDR3
Screen size 15.5"" with web camera
Wi-Fi and Bluetooth Connection
Intel HD Graphics 520
Display Resolution 1920 X 1080
3.0 USB PORTS
Type C USB Port
HDMI PORT
SD Card Reader
Battery holds great charge
Comes with Lenovo power charger
Windows 10 Pro Version 22H2

( note the laptop has small scratches on the body from normal use )

For info call or text (773) 7 one five two 2 8 9",https://images.craigslist.org/00U0U_8jH7DzQpzLA_0CI0t2_600x450.jpg
DELL LATITUDE E5470 INTEL QUAD CORE I5-6300HQ 2.30 GHZ,https://chicago.craigslist.org/chc/sys/d/chicago-dell-latitude-e5470-intel-quad/7693655822.html,"Dell Latitude E5470 Laptop
Normal working condition
Good cosmetic condition

LAPTOP INFO
Processor Intel Core i5-6300HQ 2.30 GHz
Number of cores --------4
Installed Hard Drive -------- 250 GB SSD M.2
Installed Memory --------- 16 GB PC4
Screen Size 14"" with camera
Intel HD Graphics 530
3.0 USB PORTS
HDMI PORT
SD CARD READER
Wi-Fi And Bluetooth Connection
Battery holds great charge
Comes with dell power charger
Windows 10 Pro Version 22H2

NOTE THE LAPTOP HAS VERY SMALL SCRATCHES ON THE BODY FROM NORMAL USE

For info call or text (773) 7 one 5 two 2 8 9
FIRM PRICE.",https://images.craigslist.org/00w0w_lTWt3DeepwPz_0CI0t2_600x450.jpg
"Lenovo Thinkcenter (i5 6500) Monitor, SSD Win 10/16G",https://chicago.craigslist.org/wcl/sys/d/lyons-lenovo-thinkcenter-monitor-ssd/7689626522.html,"For Sale *** Lenovo Thinkcenter 3102 MT
Nice Pc in Excellent condition, Clean inside and out.
Rebuilt + upgraded Pc,(fresh Thermal paste, Ram, Drives, cmos batt)
Fast Business class PC, Boot time is about 19 seconds.
You can put 6th or 7th gen cpu's in this Pc.
For internet usage, email, office, Work at home, ect.
Pc is in ready to use condition, Check images for more details and specs.
Free 22 in Monitor (1920 x1080) if you need a screen, image #3.

Intel Core i5- 6500, 3.2 GHz Base,3.6 Ghz Turbo 6th gen.
250 Gb WD Blue SSD , Boot Drive.6 Gb/s.
1 Tb 3.5 In WD Blue 7200 rpm. Storage Disk.
16 GB DDR4 Ram in Dual Channel mode.
CD/DVD Writer, 8 USB ports-4 Front,4 rear. usb 3.0
VGA and 2 DP, outputs Intergraded graphics. Wired Network.
Comes with a power cord, mouse, keyboard.

New Windows 10 Pro (22H2 Oct. Release), Genuine Win 10.
Fresh install, Optimized, for snappy performance/privacy/bloat.
Ad blocker and Antivirus. Chrome + Firefox Browsers.
The pc is Described honestly, with a 60 day warranty.
I'm a pc tech and hobby guy of many years.
Feel free to Call or text for any pc questions, price firm.",https://images.craigslist.org/00m0m_3NCfHeu7VIm_0t20CI_600x450.jpg
Gaming Computer Desktop PC,https://chicago.craigslist.org/wcl/sys/d/wheaton-gaming-computer-desktop-pc/7693651250.html,"AMD processor and Nvidia GeForce graphics card. Budget build good for 1080p. I helped my niece upgrade her pc so selling her old parts in an old case I had.

Cpu - Ryzen 5 2600 6 cores
Mobo - Gigabyte A320m
Ram - 16gb Ballistix 2666mhz ddr4
Storage - 256gb Samsung nvme ssd
Gpu - EVGA GTX 1660 Ti 6gb
Psu - EVGA 500w 80+
Case - Corsair older model
Windows 10 Pro activated

Can be upgraded to Windows 11 as shown in picture. Can include more storage upon request.

Last 2 pictures show benchmarks of the cpu and gpu. Temps for gpu reaches low 70 and cpu reaches low 60 when stress tested.",https://images.craigslist.org/00p0p_kQX2tkvVX42_0t20CI_600x450.jpg
"Mac Retina 5k 27"" 2017 3.8 GHz Quad Core i5 8GB Ram 2TB HD",https://chicago.craigslist.org/chc/sys/d/chicago-mac-retina-5k-ghz-quad-core-i5/7684363831.html,"AIRTEC SERVICE CENTER

Cellphone and computer repair center

Most devices are repaired in 30 mins


242 S State St
Chicago, IL
60604

show contact info

Laptops Starting at $99 and up- contact us for availability and other services.",https://images.craigslist.org/00l0l_l7yHY8gG1Nd_0CI0t2_600x450.jpg
Network Video Recorder,https://chicago.craigslist.org/nwc/sys/d/skokie-network-video-recorder/7686233161.html,Network Video Recorder by GeoVision - Recording server for a CCTV system. Power cord included.,https://images.craigslist.org/00000_9bsmYyDh9UU_1320MM_600x450.jpg
"27"" iMac Late 2015 Fusion Drive - FAST",https://chicago.craigslist.org/chc/sys/d/chicago-27-imac-late-2015-fusion-drive/7689130158.html,"Lightly used 27"" iMac. Retina 5K, Late 2015. Fusion drive, partition-able, super-fast. Quad-core i5. Excellent condition. Wiped clean, latest OS. Extended keyboard incl. Ready to go. $350.00",https://images.craigslist.org/00707_9ZfQlyocYv1_0CI0t2_600x450.jpg
Adjustable Autonomous Electric Desk,https://chicago.craigslist.org/nch/sys/d/skokie-adjustable-autonomous-electric/7690015303.html,"Autonomous SmartDesk Core sets a new standard beyond standing, instilling fitness passion, and flexing to different workspaces for dynamic work styles. Desktop measures 53"" long x 29"" wide. Highlights include:

• Lifts 265 -270 lbs with ease
• Solid steel frame
• Electric dual motor
• 2-stage frame
• Programmable Keypad Desk
• Height-adjustable between 29.4” to 48”
• 4 programmable keypad settings
• 3 desktop options with pre-drilled holes",https://images.craigslist.org/00F0F_lphkehwHXgG_0sG0j7_600x450.jpg
