Title,Link,Description,Image URL
Minicom Smartrack 1U Rackmount Console Unicorn 17 and Minicom Smartrack 116IP Sw,https://chicago.craigslist.org/nch/sys/d/skokie-minicom-smartrack-1u-rackmount/7688614156.html,"Minicom Smartrack 1U Rackmount Console Unicorn 17 and Minicom Smartrack 116IP Switch

Pre-Owned

The unit was bought and kept as a spare for a production unit. There are scratches on the outside from sitting on a shelf since it was kept as a spare. The unit powers on and works.



$1000 OBO

I may be interested in trade or barter as well.",https://images.craigslist.org/00V0V_11RXATjc0ci_0jm0pO_600x450.jpg
Cisco Catalyst 3750G WS-C3750G-12S-S,https://chicago.craigslist.org/nch/sys/d/skokie-cisco-catalyst-3750g-ws-c3750g/7685024926.html,"Cisco Catalyst 3750G WS-C3750G-12S-S.



New-Open Box


The unit was bought to be kept as a spare for a production unit so if the need arises, this one could be swapped in to avoid downtime. Please see the pictures what's included with the listing. If you have any questions, feel free to ask


$450 OBO

I might be interested in barter or trades as well.",https://images.craigslist.org/00u0u_2nRyUjD8tJH_0bC0fu_600x450.jpg
2011 iMac 27inch,https://chicago.craigslist.org/nwc/sys/d/dundee-2011-imac-27inch/7682200787.html,"In excellent shape, factory reset, iCloud unlocked and ready to go. Comes with a wireless mouse and keyboard ,No problems with it whatsoever.

Full specs:
- Intel i5, 6-Core CPU @ 2.7GHz
- 20GB RAM
- 1TB Hard Disk Drive",https://images.craigslist.org/00G0G_7pB9UxYOE08_0fu0bC_600x450.jpg
canon prixma mx922 printer WITH EXTRA INK,https://chicago.craigslist.org/sox/sys/d/burbank-canon-prixma-mx922-printer-with/7687753093.html,"Canon Prixma I just installed New ink cartridges in excellent conditions I'm also including over 15 cartridges of extra ink!!!

Canon
Type:
All-In-One Printer
Technology:
Inkjet
Output Type:
Color
Model:
MX922
Connectivity:
Cable, Wireless, Ethernet (RJ-45)
MPN:
6992B002, MX922
Features:
Scanner, Copier, Networkable, Fax, Duplex
Black Print Speed:
15 ppm
Product Line:
Canon Pixma",https://images.craigslist.org/00000_eLqN2meCNsy_0lM0t2_600x450.jpg
Dell Vostro Desktop i5 / 8Gb ram / Wifi / nVidia Geforce 8400GS/ SSD,https://chicago.craigslist.org/nch/sys/d/evanston-dell-vostro-desktop-i5-8gb-ram/7691743811.html,"Dell Vostro Desktop i5 / 8Gb ram / Wifi / nVidia Geforce 8400GS/ SSD


128 GB SSD HDD

DVD

Windows 10 Pro

Call show contact info

NO SHIPPING, NO CASHIER CHECKS OR PAYPAL
LOCAL PICKUP ONLY",https://images.craigslist.org/00j0j_e0tjcmoRMwN_0gl0t2_600x450.jpg
HP Pro Business Desktop Windows 10 Pro,https://chicago.craigslist.org/nch/sys/d/evanston-hp-pro-business-desktop/7691743663.html,"HP Pro Business Desktop SSD Drive Windows 10 Pro

Intel i5

8GB RAM

DVD +- RW

128GB HDD SSD



Call show contact info

NO SHIPPING, NO CASHIER CHECKS OR PAYPAL
LOCAL PICKUP ONLY",https://images.craigslist.org/00b0b_6CYM2xvNl3E_0t20CI_600x450.jpg
HP Pro 6005,https://chicago.craigslist.org/nch/sys/d/skokie-hp-pro-6005/7691742254.html,"HP Pro 6005

Amd Atlon X2 3Ghz
4GB Ram
1TB
Windows 10 Pro

show contact info

No Shipping / no CC / no Paypal",https://images.craigslist.org/01010_bTVceOA6EcU_0lM0t2_600x450.jpg
Custom Business EQUUS NOBILIS Desktop I5-4460 @3.2GHZ,https://chicago.craigslist.org/nch/sys/d/evanston-custom-business-equus-nobilis/7691742116.html,"Custom Business EQUUS NOBILIS Desktop I5-4460 @3.2GHZ

EQUUS NOBILIS WORKSTATION I5-4460 @3.2GHZ 8GB RAM

1TB HDD

DVD

Windows 10 Pro

Call show contact info

NO SHIPPING, NO CASHIER CHECKS OR PAYPAL
LOCAL PICKUP ONLY",https://images.craigslist.org/00a0a_eGSSKr9lX7j_04m039_600x450.jpg
"HP All in One 23"" Touch Screen SSD W10 Pro/Office",https://chicago.craigslist.org/nch/sys/d/evanston-hp-all-in-one-23-touch-screen/7691741963.html,"HP All in One 23"" Touch Screen SSD W10 Pro/Office

HP EliteOne 800 G1

Intel 4th Generation Core i5, Processors

8GB RAM

240 GB SSD Drive

23"" inch Touch Screen

Wireless Keyboard and Mouse


show contact info

No Shipping / no CC / no Paypal",https://images.craigslist.org/00V0V_4A7k1OQXr8mz_0CI0lM_600x450.jpg
Desktop Dell OptiPlex 9020 i5/8GB ram/New 256GB SSD/ W10 Pro,https://chicago.craigslist.org/nch/sys/d/skokie-desktop-dell-optiplex-9020-i5/7691741838.html,"Desktop Dell OptiPlex 9020 i5/8GB ram/New 256GB SSD/ W10 Pro

CPU Intel Core i5 (4rd Gen) / 3.2 GHz
Max Turbo Speed 3.6 GHz
Number of Cores Quad-Core

8GB Ram

256 Gb NEW SSD

Windows 10 Pro

No Shipping/CC/Paypal

Call show contact info",https://images.craigslist.org/00C0C_7kreSSLFDhb_600x450.jpg
